description,class,class_reason,tool,is_invasive,tool_reason,is_invasive_reason,,,,
EXCH CENTRAL NON-TUNNELED,Vascular,Exchange of a non-tunneled central venous catheter involves removing and replacing the catheter via the same entry site under imaging guidancehttps://www.aafp.org/pubs/afp/issues/2019/0501/p547.html#:~:text=Placement%20of%20Indwelling%20Catheters%20and,Ports.,Interventional procedure,Yes,,,,,
L SHOULDER 1 VIEW LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"L WRIST, AP & LAT VIEWS LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
R LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
L CT LOW WXT W/C LEFT,MSK Lower Limb,A left lower extremity CT scan with contrast provides cross-sectional images of the leg; CT is noninvasive even though contrast is injected.,CT,No,,,,,,
MR CHEST/MEDIASTINUM W&W/O CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No,,,,,,
TRANSCATHETER INFUSION FOR LYSIS,Vascular,"Transcatheter infusion for lysis involves delivering thrombolytic agents through a catheter into a blood clot under imaging guidance, an invasive vascular procedure.",Interventional procedure,Yes,,,,,,
FLUORO GUID FOR SPINE DIAG/THERAPEUTIC INJ,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",Interventional Procedure,Yes,,,,,,
L KNEE (3 VIEWS) LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"L TOE(S), 2+ VIEW LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
MRA CAROTID/VERTEBRAL W/O CONTRAST,Neck,The description involves imaging of the neck or cervical region.,MRI,No,,,,,,
RO FEMUR (AP & LAT) RIGHT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
RO HIP UNILAT MIN 2 VIEWS RIGHT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
ABDOMINAL FLUORO,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
CT ABD BX,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
"LP ANKLE (AP, MORTISE & LAT) LEFT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
MR ENTEROGRAPHY (74183&72197) SBFT,Abdomen,MR enterography is an MRI examination of the small bowel used to evaluate inflammatory bowel disease; it is noninvasive and uses magnetic resonance imaging.,MRI,No,,,,,,
O PELVIS (AP ONLY) IN O.R.,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
PERITONEAL ABSCESS DRAINAGE US,Abdomen,Ultrasound-guided drainage of a peritoneal abscess involves inserting a catheter into an intra-abdominal fluid collection under sonographic guidancehttps://pmc.ncbi.nlm.nih.gov/articles/PMC8702416/#:~:text=Abstract.,Ultrasound,Yes,,,,,,
R HEEL (AXIAL & LATERAL) RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"REPLACE D OR J TUBE, ALL INCL.",Abdomen,Replacing a duodenostomy or jejunostomy feeding tube requires removal and reinsertion of the tube under imaging guidancehttps://www.albanyir.com/gastrostomy-tube-placement#:~:text=A%20gastrostomy%20tube%20is%20a,an%20interventional%20radiologist%20using%20fluoroscopy.,Fluoroscopy,Yes,,,,,
RP TIB/FIB (AP & LAT) RIGHT PORT,MSK Lower Limb,Right tibia and fibula x-rays (AP and lateral views) image the bones of the lower leg.,X-ray,No,,,,,,
ABDOMEN US (COMPLETE STUDY),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No,,,,,,
ART DUP EXT UP UNI OR LMTD,Vascular,An arterial duplex ultrasound of the upper extremity (unilateral or limited) uses ultrasound to assess arterial blood flow in the arm.,Ultrasound,No,,,,,,
C-SPINE NON-TRAUMA 2 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
EMBO EXTRACRAINIAL,Vascular,Extracranial embolization is an interventional radiology procedure that uses a catheter to deliver embolic material to an extracranial vessel.,Interventional procedure,Yes,,,,,,
"LP ELBOW (AP, LAT & OBLIQUE) LEFT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
O ABDOMINAL FLUORO WITHOUT RADIOLOGIST IN O.R.,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
P SPINAL CANAL CONTENTS US PORT,Spine,An ultrasound of the spinal canal contents (such as in neonates) uses ultrasound to image the spinal canal and spinal cord.,Ultrasound,No,,,,,,
PRIMARY MECH THROMBECTOMY ART/BPG; INITIAL VESSEL,Vascular,Primary mechanical thrombectomy of an artery or bypass graft involves using a catheter-based device to remove a blood clot from a vessel.,Interventional procedure,Yes,,,,,,
R UNILAT BREAST US RIGHT,Breast,The description involves imaging of the breasts.,Ultrasound,No,,,,,,
CHEST SGL VIEW/LINE PLACEMENT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Interventional Procedure,Yes,,,,,,
CT LIMITED 1-2 SCANS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
CT LIVER BX,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
EARLY OB US <14WEEKS,Obstetric,The description relates to pregnancy or fetal imaging.,Ultrasound,No,,,,,,
INTRA VAS FB RETRIEVAL,Vascular,Intravascular foreign body retrieval involves using a catheter to remove a foreign object from a blood vessel under fluoroscopic guidance.,Interventional procedure,Yes,,,,,,
P C-SPINE NON-TRAUMA 2-3 VIEWS PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
"LP SHOULDER (AP, NEUTRAL & AXILLARY) TRAUMA LEFT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
PARATHYROID SCAN,Neck,The description involves imaging of the neck or cervical region.,Nuclear Medicine,No,,,,,,
ART DUP EXT UP BILAT COMP,Vascular,A bilateral complete upper extremity arterial duplex exam assesses blood flow in both arms using ultrasound.,Ultrasound,No,,,,,,
"L SHOULDER (AP, NEUTRAL & AXILLARY) SOFT TISSUE LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"LP HAND (AP, LAT & OBLIQUE) LEFT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
P ART DUP EXT LO UNI;F/U PORT,Vascular,A follow-up arterial duplex ultrasound of one lower extremity uses ultrasound to assess arterial blood flow in the leg.,Ultrasound,No,,,,,,
P C-SPINE SGL 1 VIEW PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
P HIP 1 VIEW PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
QUANTITATIVE LUNG SCAN,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Nuclear Medicine,No,,,,,,
R ANKLE (2 VIEWS) RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
R CHEST (LAT DECUB ONLY) RIGHT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
R SHOULDER 1 VIEW RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
RO TIB/FIB (AP & LAT) RIGHT IN O.R.,MSK Lower Limb,An intraoperative right tibia/fibula x-ray (AP and lateral) images the bones of the lower leg during surgery.,X-ray,No,,,,,,
THYROID BIOPSY BY RADIOLOGIST,Neck,The description involves imaging of the neck or cervical region.,Interventional Procedure,Yes,,,,,,
BILAT BREAST US,Breast,The description involves imaging of the breasts.,X-ray,No,,,,,,
MR FUSION SCAN,Whole-body/Polytrauma,An MR fusion scan typically refers to MRI sequences combined for image fusion; it is a noninvasive MRI examination.,MRI,No,,,,,,
MRI CHEST/MEDIASTINUM W/O CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No,,,,,,
P G/GJ/GI TUBE CHECK PORT,Abdomen,A gastro/gastrojejunostomy feeding tube check via port involves injecting contrast through the existing tube and taking x-rayswww.gundersenhealth.org/sites/default/files/imaging-protocol/Imaging-Protocol-XR-Abdomen-Abdomen-w-contrast.pdf#:~:text=Abdomen%20films%20are%20done%20to,of%20a%20chronic%20feeding%20tube.,X-ray,No,,,,,
R KNEE (3 VIEWS) RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
R MR HIP W/O CONRAST RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
REMOVAL IMPLANT VEN PORT,Vascular,Removal of an implanted venous port involves surgically or percutaneously removing the port and catheter from a central vein.,Interventional procedure,Yes,,,,,,
"RIB BILAT, W/AP CHEST",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
US HEPATOTOMY DRAIN ABSCESS/CYST,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,Yes,,,,,,
2ND ORDER OR> VENOUS SYSTEM,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
CTU (ABD/PEL) W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
LO LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST LEFT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
P PARACENTESIS DIAG. OR THERAPEUTIC PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Interventional Procedure,Yes,,,,,,
RETROGRADE UROGRAPHY (FILMS ONLY) IN CYSTO,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No,,,,,,
THYROID SCAN W/UPTAKE (IODINE),Neck,The description involves imaging of the neck or cervical region.,Nuclear Medicine,No,,,,,,
VOIDING CYSTOGRAM,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No,,,,,,
3ED ORDER THOR/BRACHIOCEPHALIC,Vascular,Third-order thoracic or brachiocephalic catheterization refers to advancing a catheter into a third-order branch of the thoracic or brachiocephalic vessels during angiographyhttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,Fluoroscopy,Yes,,,,,
B UNILAT UP EXT VEINS US BILAT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
"CHEST (PA, LAT & OBLIQUES)",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
IMPLANT VEN PORT,Vascular,Implantation of a venous port involves placing a port-a-cath device under the skin and inserting a catheter into a central veinhttps://www.aafp.org/pubs/afp/issues/2019/0501/p547.html#:~:text=Placement%20of%20Indwelling%20Catheters%20and,Ports.,Interventional procedure,Yes,,,,,
L ANKLE (2 VIEWS) LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"MANDIBLE (PA, TOWNES & BOTH OBLS)",Head,"Mandible x-rays including PA, Towne and oblique views image the lower jaw using radiography.",X-ray,No,,,,,,
MR PELVIS W&W/O CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,MRI,No,,,,,,
"O PELVIS (AP, INLET & OUTLET) IN O.R.",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
"P TRAUMA SERIES (LAT C-SPINE, AP CXR, AP PELVIS PORT) PORT",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
P VIDEO OROPHARYNGEAL SWALLOW PORT,Head,A videofluoroscopic swallow study evaluates swallowing by recording real-time fluoroscopic images while the patient swallows contrasthttps://www.radiologyinfo.org/en/info/modbariumswallow#:~:text=What%20is%20a%20Video%20Fluoroscopic,VFSE.,Fluoroscopy,No,,,,,
"RP ELBOW (AP, LAT & OBLIQUE) RIGHT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
SERVIC BY SAME MD DURING POST OPERATIVE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
US SIMPLE/SING ABSC/CYST DRAIN/INCISION,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,Yes,,,,,,
ADD'L 2ND/3RD ORDER,Vascular,Additional second or third order catheterization refers to advancing a catheter into second- or third-order vessels during angiographyhttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,Fluoroscopy,Yes,,,,,
CT PERITONEAL DRAINAGE,Abdomen,CT-guided peritoneal drainage uses computed tomography to guide placement of a catheter into the peritoneal cavity to drain fluid collectionshttps://pmc.ncbi.nlm.nih.gov/articles/PMC8702416/#:~:text=Abstract.,CT,Yes,,,,,,
DEEP BONE BX,MSK Upper Limb,A deep bone biopsy uses imaging guidance to insert a needle into a deep bone lesion to obtain tissue; it is an interventional procedure.,Interventional procedure,Yes,,,,,,
OL LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OR HIP UNILAT MIN 2 VIEWS IN O.R. RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
PTA BRACHIOCEPHAL EA VESSEL,Vascular,Percutaneous transluminal angioplasty of the brachiocephalic vessel uses a balloon catheter to dilate a narrowed artery under fluoroscopic guidancehttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,Fluoroscopy,Yes,,,,,
PUNC ASP ABSECC/HEMATOMA/BULA/CYST,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No,,,,,,
CT ABD&PELVIS W/O C COLON TECHNIQUE,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
INJ-VENO/PAC/HICKMAN INCL INTRO OF CATH,Vascular,Insertion of a venous port-a-cath or Hickman catheter involves inserting a catheter into a central vein under imaging guidance and securing a port.,Interventional procedure,Yes,,,,,,
INS ENDOVAS VENA CAVA FILTER,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No,,,,,,
MRA NECK W/O CONTRAST,Neck,The description involves imaging of the neck or cervical region.,MRI,No,,,,,,
O SPINAL FLUORO WITHOUT RADIOLOGIST IN O.R.,Spine,Intraoperative spinal fluoroscopy provides real-time x-ray imaging of the spine during surgery and is noninvasive.,Fluoroscopy,No,,,,,,
OCTREOTIDE SCAN (SOMATOSTATIN),Whole-body/Polytrauma,An octreotide scan uses a somatostatin analog labeled with a radioactive tracer to image neuroendocrine tumors throughout the body; it is a nuclear medicine exam.,Nuclear medicine,No,,,,,,
PERC PORTAL VEIN CATH,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,Yes,,,,,,
R CT LOW WXT W/C RIGHT,MSK Lower Limb,A right lower extremity CT scan with contrast produces cross-sectional images of the leg; CT is noninvasive.,CT,No,,,,,,
C-SPINE TRAUMA W/FLEX & EXT 5 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
L ABDOMEN (LAT DECUB ONLY) LEFT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
L UPPER EXTREM VEINS US LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
LO HIP UNILAT MIN 2 VIEWS LEFT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
LP FOREARM (AP & LAT) LEFT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"LUMBAR SP,SINGLE FILM",Spine,A single-view lumbar spine x-ray images the lumbar vertebrae.,X-ray,No,,,,,,
OR TIB/FIB (AP & LAT) IN O.R. RIGHT,MSK Lower Limb,Intraoperative tibia/fibula x-rays (AP and lateral views) image the bones of the lower leg during surgery.,X-ray,No,,,,,,
P CHEST SGL VIEW/LINE PLACEMENT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Interventional Procedure,Yes,,,,,,
"R WRIST, AP & LAT VIEWS RIGHT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"ANGIOGRAPHY, EXTREMITY",Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes,,,,,,
CHEST FLUORO,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
LO TIB/FIB (AP & LAT) LEFT IN O.R.,MSK Lower Limb,Intraoperative left tibia/fibula x-rays (AP and lateral) image the bones of the lower leg during surgery.,X-ray,No,,,,,,
LUMBAR SINGLE VIEW IN OR,Spine,A single-view lumbar spine x-ray taken in the operating room images the lumbar vertebrae.,X-ray,No,,,,,,
MR HEAD NEURO,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",MRI,No,,,,,,
OR LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
P CHEST PORT. LINE PLACEMENT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Interventional Procedure,Yes,,,,,,
P NECK SOFT TISSUES PORT,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
PROSTATE U.S.,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
R MR FOOT W&W/O CONTRAST RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
ANTEGRADE UROGRAPHY,Genitourinary,Antegrade urography involves injecting contrast into the upper urinary tract via a nephrostomy to image the renal pelvis and ureter under fluoroscopy.,Fluoroscopy,Yes,,,,,,
"C-SPINE, NON-TRAUMA",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
CHEST AP ONLY,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
CT RFA LIVER 1 OR MORE,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
CT THORACENTESIS DRAINAGE,Chest,"CT-guided thoracentesis uses computed tomography to guide insertion of a needle or catheter through the chest wall into the pleural space to drain fluid, an invasive procedurehttps://my.clevelandclinic.org/health/treatments/24254-thoracentesis#:~:text=Thoracentesis%20is%20a%20procedure%20that,procedure%20done%20while%20you%E2%80%99re%20awake.",CT,Yes,,,,,,
CTA CORONARY ARTERIES W/3D W/FUNCTION,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,CT,No,,,,,,
"CYSTOGRAM (51600, 74430)",Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No,,,,,,
L MR FOOT W&W/O CONTRAST LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
L MR HIP W/O CONRAST LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
L VENOUS DUP UPPER EXT UNILATERAL LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
LUMBAR PUNCTURE (W/ FLUORO),Spine,A lumbar puncture using fluoroscopy involves inserting a needle between lumbar vertebrae under fluoroscopic guidance to collect cerebrospinal fluidhttps://my.clevelandclinic.org/health/diagnostics/12544-lumbar-puncture-spinal-tap#:~:text=When%20the%20area%20of%20your,needle%20to%20the%20correct%20spot.,Fluoroscopy,Yes,,,,,
MR CARDIAC VELOCITY FLOW MAP,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,MRI,No,,,,,,
MR ORBIT W &W/O CONTRAST,Head,MRI of the orbits with and without contrast evaluates the eye sockets and optic nerves using magnetic resonance imaging.,MRI,No,,,,,,
MR UROGRAM(MR ABD&PEL W&W/OC),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No,,,,,,
R UPPER EXTREM VEINS US RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
XMR ENTEROGRAPHY (SMALL BOWELL),Abdomen,"MR enterography of the small bowel uses MRI to evaluate the small intestine, typically for Crohn disease, and is noninvasive.",MRI,No,,,,,,
B FOOT (AP & LAT) STANDING BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B FOREARM (AP & LAT) BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
FDG BRAIN,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",X-ray,No,,,,,,
L HEEL (AXIAL & LATERAL) LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
LYMPHOSCINTIGRAPHY,Whole-body/Polytrauma,Lymphoscintigraphy is a nuclear medicine imaging test that maps lymphatic drainage by injecting a radiotracer and imaging with a gamma camera.,Nuclear medicine,No,,,,,,
MR IAC W &W/O CONTRAST,Head,MRI of the internal auditory canals with and without contrast evaluates the auditory nerves and inner ear structures using magnetic resonance imaging.,MRI,No,,,,,,
OL TIB/FIB (AP & LAT) IN O.R. LEFT,MSK Lower Limb,"AP and lateral views of the tibia/fibula image the bones of the lower leg, so the study involves the musculoskeletal lower limb.",X-ray,No,"AP and lateral views are standard radiographic (X-ray) projections used to image bones and joints, which use a small dose of ionizing radiation to produce images of internal structuresfile:///home/oai/redirect.html#:~:text=Overview.",X-ray imaging is non-invasive and does not involve inserting instruments into the bodyfile:///home/oai/redirect.html#:~:text=Overview.,,,,
PELVIS LIMITED,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
UGI SGL W/ SBFT,Abdomen,"An upper GI single-contrast study with small bowel follow-through uses fluoroscopy and barium contrast to image the esophagus, stomach and small intestinehttps://www.radiologyinfo.org/en/info/uppergi#:~:text=Upper%20gastrointestinal%20tract%20radiography%20or,blood%20in%20the%20stool%20andhttps://capitolimagingservices.com/small-bowel-follow-through/#:~:text=A%20Small%20Bowel%20Follow%20Through,polyps%2C%20cancer%20and%20other%20symptoms.",Fluoroscopy,No,,,,,,
CAROTID/CEREBRAL BILAT,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",X-ray,No,,,,,,
"CHEST (PRE OP CARDIAC AP,PA&LAT)",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
CT TRACHEA W/C & W/RECONS,Chest,A CT scan of the trachea with contrast and reconstructed images provides cross-sectional imaging of the airway in the chest.,CT,No,,,,,,
"INT.SHTH NOT/GUID,EP,NONLASER",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,Yes,,,,,,
L STAND FEET (AP&LAT) NON-STAND OBL 3 VIEWS LEFT,MSK Lower Limb,"Left standing foot x-rays (AP, lateral and oblique views) are radiographs of the foot taken while standing.",X-ray,No,,,,,,
L UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
LP HIP UNILAT MIN 2 VIEWS LEFT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OO ABDOMEN (SUPINE ONLY) IN O.R. IN O.R.,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
"P NECK,SOFT TISSUE US PORT",Neck,The description involves imaging of the neck or cervical region.,Ultrasound,No,,,,,,
PR UNILAT UP EXT VEINS US PORT RIGHT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
R MR FOOT W/O CONTRAST RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
"R SHOULDER (AP, NEUTRAL & AXILLARY) SOFT TISSUE RIGHT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
B FOOT 2 VIEWS BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
CENTRAL NON-TUNNELED,Vascular,Placement of a non-tunneled central venous catheter involves inserting a catheter into a central vein for short-term accesshttps://www.aafp.org/pubs/afp/issues/2019/0501/p547.html#:~:text=Placement%20of%20Indwelling%20Catheters%20and,Ports.,Interventional procedure,Yes,,,,,
CT LOC DRAINAGE,Abdomen,CT-guided localization drainage refers to the placement of a drainage catheter into a fluid collection under CT guidancehttps://pmc.ncbi.nlm.nih.gov/articles/PMC8702416/#:~:text=Abstract.,CT,Yes,,,,,,
CT LUMBAR W&W/O CONTRAST,Spine,A CT scan of the lumbar spine with and without contrast provides cross-sectional imaging of the lumbar vertebrae.,CT,No,,,,,,
CT TRACHEA W/C & W/3D REND,Chest,"A CT scan of the trachea with contrast and 3D rendering provides detailed images of the airway, and CT is noninvasive.",CT,No,,,,,,
FOOT STANDING EXTRMEITY BILATERAL,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OR FEMUR (AP & LAT) IN O.R. RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
R MR ANKLE W/O CONTRAST RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
"RETRO UROGRAM (74450,51610)",Genitourinary,A retrograde ureterogram involves injecting contrast into the ureter via a catheter and taking fluoroscopic images to evaluate the ureter.,Fluoroscopy,Yes,,,,,,
"RIB, UNILAT (NO CXR)",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
RP HUMERUS (AP & LAT) RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
RP US EXTREMITY NONVASCULAR RIGHT PORT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
B HUMERUS (AP & LAT) BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
B SHOULDER 2-3 VIEWS NON TRAUMA BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"CARDIAC STRUCTURE/MORPH, 3D, FUNCTION",Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,CT,No,,,,,,
CAROTID LMTD/ DPP,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
CT SINUS CORONAL ONLY,Head,A coronal-only CT of the sinuses provides cross-sectional images of the paranasal sinuses in the coronal plane.,CT,No,,,,,,
CT SINUS W/O CONTRAST FOR SURGICAL PLANNING,Head,A non-contrast CT of the sinuses for surgical planning provides detailed images of the sinus anatomy.,CT,No,,,,,,
CT THORACENTESIS W/TUBE PLACMENT,Chest,CT-guided thoracentesis with tube placement involves using computed tomography to guide insertion of a needle and drainage catheter into the pleural spacehttps://my.clevelandclinic.org/health/treatments/24254-thoracentesis#:~:text=Thoracentesis%20is%20a%20procedure%20that,procedure%20done%20while%20you%E2%80%99re%20awake.,CT,Yes,,,,,
INTRO NEEDL/CATH VEIN,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes,,,,,,
